SourceMissingPersonId,original_image,crop_image,status
645044,downloaded_images/645044_1.jpg,face_crops/645044_1.jpg,cropped
647332,downloaded_images/647332_1.jpg,face_crops/647332_1.jpg,cropped
645807,downloaded_images/645807_1.jpg,face_crops/645807_1.jpg,cropped
644842,downloaded_images/644842_1.jpg,face_crops/644842_1.jpg,cropped
646397,downloaded_images/646397_4.jpg,face_crops/646397_4.jpg,cropped
649262,downloaded_images/649262_1.jpg,face_crops/649262_1.jpg,cropped
645769,downloaded_images/645769_1.jpg,face_crops/645769_1.jpg,cropped
646131,downloaded_images/646131_6.jpg,face_crops/646131_6.jpg,cropped
645300,downloaded_images/645300_1.jpg,face_crops/645300_1.jpg,cropped
645794,downloaded_images/645794_1.jpg,face_crops/645794_1.jpg,cropped
646835,downloaded_images/646835_1.jpg,face_crops/646835_1.jpg,cropped
644794,downloaded_images/644794_1.jpg,face_crops/644794_1.jpg,cropped
649126,downloaded_images/649126_1.jpg,face_crops/649126_1.jpg,cropped
648126,downloaded_images/648126_1.jpg,face_crops/648126_1.jpg,cropped
648965,downloaded_images/648965_1.jpg,face_crops/648965_1.jpg,cropped
646928,downloaded_images/646928_1.jpg,face_crops/646928_1.jpg,cropped
645258,downloaded_images/645258_1.jpg,face_crops/645258_1.jpg,cropped
647603,downloaded_images/647603_1.jpg,face_crops/647603_1.jpg,cropped
644984,downloaded_images/644984_2.jpg,face_crops/644984_2.jpg,cropped
646603,downloaded_images/646603_1.jpg,face_crops/646603_1.jpg,cropped
644530,downloaded_images/644530_1.jpg,face_crops/644530_1.jpg,cropped
648701,downloaded_images/648701_11.jpg,face_crops/648701_11.jpg,cropped
648452,downloaded_images/648452_1.jpg,face_crops/648452_1.jpg,cropped
648083,downloaded_images/648083_1.jpg,face_crops/648083_1.jpg,cropped
644979,downloaded_images/644979_2.jpg,face_crops/644979_2.jpg,cropped
645159,downloaded_images/645159_1.jpg,face_crops/645159_1.jpg,cropped
647990,downloaded_images/647990_1.jpg,face_crops/647990_1.jpg,cropped
648820,downloaded_images/648820_4.jpg,face_crops/648820_4.jpg,cropped
647196,downloaded_images/647196_1.jpg,face_crops/647196_1.jpg,cropped
648788,downloaded_images/648788_2.jpg,face_crops/648788_2.jpg,cropped
646990,downloaded_images/646990_1.jpg,face_crops/646990_1.jpg,cropped
644631,downloaded_images/644631_1.jpg,face_crops/644631_1.jpg,cropped
646547,downloaded_images/646547_1.jpg,face_crops/646547_1.jpg,cropped
645927,downloaded_images/645927_1.jpg,face_crops/645927_1.jpg,cropped
647212,downloaded_images/647212_1.jpg,face_crops/647212_1.jpg,cropped
645164,downloaded_images/645164_1.jpg,face_crops/645164_1.jpg,cropped
644757,downloaded_images/644757_21.jpg,face_crops/644757_21.jpg,cropped
648342,downloaded_images/648342_1.jpg,face_crops/648342_1.jpg,cropped
648793,downloaded_images/648793_1.jpg,face_crops/648793_1.jpg,cropped
649342,downloaded_images/649342_1.jpg,face_crops/649342_1.jpg,cropped
646915,downloaded_images/646915_1.jpg,face_crops/646915_1.jpg,cropped
647950,downloaded_images/647950_1.jpg,face_crops/647950_1.jpg,cropped
645265,downloaded_images/645265_1.jpg,face_crops/645265_1.jpg,cropped
647587,downloaded_images/647587_1.jpg,face_crops/647587_1.jpg,cropped
648947,downloaded_images/648947_6.jpg,face_crops/648947_6.jpg,cropped
644548,downloaded_images/644548_1.jpg,face_crops/644548_1.jpg,cropped
644960,downloaded_images/644960_3.jpg,face_crops/644960_3.jpg,cropped
644410,downloaded_images/644410_1.jpg,face_crops/644410_1.jpg,cropped
644455,downloaded_images/644455_1.jpg,face_crops/644455_1.jpg,cropped
646723,downloaded_images/646723_1.jpg,face_crops/646723_1.jpg,cropped
648958,downloaded_images/648958_1.jpg,face_crops/648958_1.jpg,cropped
645455,downloaded_images/645455_1.jpg,face_crops/645455_1.jpg,cropped
647723,downloaded_images/647723_1.jpg,face_crops/647723_1.jpg,cropped
648537,downloaded_images/648537_1.jpg,face_crops/648537_1.jpg,cropped
645365,downloaded_images/645365_4.jpg,face_crops/645365_4.jpg,cropped
648572,downloaded_images/648572_1.jpg,face_crops/648572_1.jpg,cropped
646952,downloaded_images/646952_3.jpg,face_crops/646952_3.jpg,cropped
646467,downloaded_images/646467_1.jpg,face_crops/646467_1.jpg,cropped
644385,downloaded_images/644385_1.jpg,face_crops/644385_1.jpg,cropped
646422,downloaded_images/646422_1.jpg,face_crops/646422_1.jpg,cropped
647467,downloaded_images/647467_1.jpg,face_crops/647467_1.jpg,cropped
645711,downloaded_images/645711_1.jpg,face_crops/645711_1.jpg,cropped
645288,downloaded_images/645288_12.jpg,face_crops/645288_12.jpg,cropped
645288,downloaded_images/645288_13.jpg,face_crops/645288_13.jpg,cropped
648824,downloaded_images/648824_1.jpg,face_crops/648824_1.jpg,cropped
648067,downloaded_images/648067_1.jpg,face_crops/648067_1.jpg,cropped
645365,downloaded_images/645365_5.jpg,face_crops/645365_5.jpg,cropped
645690,downloaded_images/645690_1.jpg,face_crops/645690_1.jpg,cropped
645241,downloaded_images/645241_1.jpg,face_crops/645241_1.jpg,cropped
647974,downloaded_images/647974_1.jpg,face_crops/647974_1.jpg,cropped
646952,downloaded_images/646952_2.jpg,face_crops/646952_2.jpg,cropped
647931,downloaded_images/647931_1.jpg,face_crops/647931_1.jpg,cropped
647989,downloaded_images/647989_1.jpg,face_crops/647989_1.jpg,cropped
644628,downloaded_images/644628_1.jpg,face_crops/644628_1.jpg,cropped
649366,downloaded_images/649366_1.jpg,face_crops/649366_1.jpg,cropped
646989,downloaded_images/646989_1.jpg,face_crops/646989_1.jpg,cropped
644903,downloaded_images/644903_1.jpg,face_crops/644903_1.jpg,cropped
645140,downloaded_images/645140_1.jpg,face_crops/645140_1.jpg,cropped
644960,downloaded_images/644960_2.jpg,face_crops/644960_2.jpg,cropped
645591,downloaded_images/645591_1.jpg,face_crops/645591_1.jpg,cropped
645946,downloaded_images/645946_1.jpg,face_crops/645946_1.jpg,cropped
645105,downloaded_images/645105_1.jpg,face_crops/645105_1.jpg,cropped
646894,downloaded_images/646894_1.jpg,face_crops/646894_1.jpg,cropped
645735,downloaded_images/645735_1.jpg,face_crops/645735_1.jpg,cropped
646420,downloaded_images/646420_2.jpg,face_crops/646420_2.jpg,cropped
647092,downloaded_images/647092_1.jpg,face_crops/647092_1.jpg,cropped
645770,downloaded_images/645770_1.jpg,face_crops/645770_1.jpg,cropped
648981,downloaded_images/648981_1.jpg,face_crops/648981_1.jpg,cropped
644434,downloaded_images/644434_1.jpg,face_crops/644434_1.jpg,cropped
646707,downloaded_images/646707_1.jpg,face_crops/646707_1.jpg,cropped
648939,downloaded_images/648939_1.jpg,face_crops/648939_1.jpg,cropped
645434,downloaded_images/645434_1.jpg,face_crops/645434_1.jpg,cropped
647742,downloaded_images/647742_1.jpg,face_crops/647742_1.jpg,cropped
644757,downloaded_images/644757_20.jpg,face_crops/644757_20.jpg,cropped
